,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2016-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,C,NC,PQ,Waterlogged and shallow water Table,Flood Prone,Spring Discharge,C,NC,PQ,Total,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,,0,0,0,0,0,0,0,0,0,0,,,,9887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9899,,,,990,,,,8909,,,,230,,,,83,,,,1,,,,314,,,,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,,0,0,0,0,0,0,0,0,0,0,,,,18351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18352,,,,1835,,,,16517,,,,80,,,,29,,,,0,,,,110,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,,0,0,0,0,0,0,0,0,0,0,,,,8579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8591,,,,859,,,,7732,,,,283,,,,188,,,,14,,,,485,,,,6,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
4,ANDHRA PRADESH,Ananthapuramu,,518,557,0,552,242803,1467300,0,1710103,202897,1913000,9918,67671,0,77589,32,,,32,3893,476,0,4369,2632,13214,0,15846,833,19038,0,19872,1188657,7903069,0,9091726,,,,,,,,,1205965,8003469,0,9209434,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,1205965,8003469,0,9209434,120588,800272,0,920860,1085377,7203197,0,8288573,1442,13096,,14539,7,606,,613,14196,130217,,144413,15646,143918,,159564,1,2,,2,3112,18379,0,21491,1068569,7059908,0,8128477,,,,,,,,,,,,,,4520670,0,12809244,0,0,,0,,0,,,,,,,,12809244,0
5,ANDHRA PRADESH,Chittoor,,1240,929,0,941,53098,1270195,0,1323293,191807,1515100,6817,111861,0,118677,,,,,1718,1539,0,3258,1195,36055,0,37250,2631,60769,0,63400,31358,930023,0,961381,,,,,,,,,43718,1140248,0,1183966,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,43718,1140248,0,1183966,4279,112670,0,116950,39439,1027578,0,1067017,249,8685,,8934,144,588,,732,2963,94579,,97542,3357,103852,,107208,9,10,,10,372,13325,0,13697,36005,926065,0,962070,,,,,,,,,,,,,,6652521,0,7719537,0,0,,0,,0,,,,,,,,7719537,0
6,ANDHRA PRADESH,East Godavari,,1136,1206,1134,1171,383586,519728,139499,1042812,237478,1280291,43819,55750,14225,113794,23033,,0,23033,115034,3886,31338,150258,18164,283,26,18473,20858,3938,0,24797,31218,7186,0,38404,,,,,,,,,252125,71044,45589,368758,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,252125,71044,45589,368758,24067,6217,4559,34843,228058,64827,41030,333915,0,1,0,1,4032,1401,0,5433,36689,5528,322,42540,40721,6931,322,47973,18,11,1,16,2276,1747,0,4023,187528,57680,40709,245208,,,,,,,,,,,,,,6158961,222715,6451846,263745,0,,0,,0,,,,,,,,6451846,263745
7,ANDHRA PRADESH,Guntur,,836,770,918,841,653894,182136,207330,1043361,95745,1139106,45813,8252,11922,65987,6994,,422,7416,82163,1376,21592,105130,7609,1000,8,8617,2510,843,393,3746,201258,3200,102565,307024,,,,,,,,,346347,14671,136902,497920,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,346347,14671,136902,497920,33894,1387,13547,48828,312453,13284,123355,449092,8004,1014,643,9662,60,134,0,195,32057,7538,136,39731,40121,8687,779,49587,13,65,1,15,13407,1557,0,15897,271282,6527,123229,277809,,,,,,,,,,,,,,2240028,689937,2565765,813292,0,,0,,0,,,,,,,,2565765,813292
8,ANDHRA PRADESH,Krishna,,1018,942,1009,1010,526143,61743,269381,857267,15433,872700,60028,5993,24846,90867,12420,,0,12420,84164,0,37998,122162,11241,15398,0,26639,15851,3328,0,19178,245734,176,0,245909,,,,,,,,,429437,24895,62843,517175,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,429437,24895,62843,517175,40227,2413,6168,48807,389210,22482,56676,468368,6022,637,0,6659,5972,302,0,6275,41996,6138,0,48135,53991,7077,0,61068,14,31,0,15,6979,660,0,7638,337107,16279,56676,353386,,,,,,,,,,,,,,3383524,5498849,3795216,5555525,0,,0,,0,,,,,,,,3795216,5555525
